BER_SPO1/18/11,BER_SPO2/18/11,OSNR_SPO1/18/11,OSNR_SPO2/18/11,Ampli1_InputPower,Ampli1_OutputPower,Ampli2_InputPower,Ampli2_OutputPower,Ampli3_InputPower,Ampli3_OutputPower,Ampli4_InputPower,Ampli4_OutputPower,LT
-9.156599625,-17.49246144,19,28.8,-13.8,1.4,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
-9.169148526,-17.47289135,19,30.1,-13.8,1.4,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
-9.175248363,-17.49642184,19,29.9,-13.8,1.5,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
-9.16418224,-17.46133052,19,29.3,-13.8,1.5,-13.5,1.6,-15,0.7,-14.2,1.2,1
-9.448952954,-17.48067349,19,29,-13.8,1.4,-13.5,1.6,-15,0.7,-14.2,1.2,1
-9.170815859,-17.50439001,18.8,29.4,-13.8,1.4,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
-9.16870335,-17.46902287,19.1,30.6,-13.8,1.5,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
-9.161300715,-17.48458738,19,29.4,-13.8,1.5,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
-9.173538929,-17.50439001,19.1,29.1,-13.8,1.4,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
-9.172075885,-17.47289135,19.1,30.1,-13.8,1.4,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
-9.15833728,-17.47289135,19,30.2,-13.8,1.4,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
-9.16450409,-17.49246144,19,28.6,-13.8,1.4,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
-9.172626563,-17.48067349,19,29.3,-13.8,1.4,-13.5,1.6,-15,0.7,-14.2,1.2,1
-9.166390474,-17.48851666,19,29.8,-13.8,1.5,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
-9.175538059,-17.50039799,19.1,29.6,-13.8,1.4,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
-9.176699621,-17.4651693,19.2,29.3,-13.8,1.5,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
-9.16204271,-17.49246144,19.1,30.2,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-9.752409015,-17.43113955,20.3,29.7,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.79931426,-17.46133052,32.6,29,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.8012925,-17.50039799,30.8,30.8,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.81324483,-17.42373211,31.4,29.9,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.82534176,-17.4536969,34.6,30.5,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.83553552,-17.48067349,32.1,30.1,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.75865038,-17.43486395,33.9,29.7,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.74920744,-17.44235462,32.8,31,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.84790682,-17.50439001,33.2,29.8,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.87099284,-17.7375839,32.2,30,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.84790682,-17.4536969,32.2,29.6,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.8816653,-17.47677485,34.2,29.8,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.91882804,-17.44235462,32.6,30,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.89028604,-17.43860227,34.7,29.7,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.89898175,-17.43486395,34.3,29.7,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.91216875,-17.39463915,32.8,29.3,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.88381352,-17.43860227,31.7,30.3,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.83964231,-17.43113955,34.1,29.1,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.88596638,-17.37687669,33.5,28.8,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.8562402,-17.46902287,32.8,28.7,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.8294068,-17.35597001,32.2,29.8,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.83144554,-17.39822982,33.8,30,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.84376602,-17.4536969,33.6,29.8,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.8012925,-17.38749626,32.1,31.3,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.81324483,-17.35942424,33.4,29.3,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-17.0726076,-17.4461211,34.6,30.2,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.77587569,-17.35252766,33.2,29.3,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.8294068,-17.40183342,34.8,31.2,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.84583428,-17.72753356,33.8,29.5,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.83553552,-17.39106133,34.6,28.9,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.83758681,-17.40907983,33.9,29.7,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.86887194,-17.44235462,31.6,28.9,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.8562402,-17.41272282,33.2,31.1,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.80725081,-17.44990183,34.1,29.2,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.79733993,-17.44990183,34.6,29.6,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.83144554,-17.43113955,32.7,30.2,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.77202212,-17.41637913,32.1,29.3,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.79340291,-17.44235462,31.4,29.2,-13.8,1.5,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
-9.211302835,-17.42004886,19.1,28.7,-13.8,1.5,-13.5,1.6,-15,0.7,-14.2,1.2,1
-9.186318228,-17.39463915,19,29.2,-13.8,1.5,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
-9.172864449,-17.35942424,19,31,-13.8,1.5,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
-9.179530896,-17.40907983,19,30,-13.8,1.4,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
-9.182018256,-17.69313214,18.9,29.8,-13.8,1.4,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
-9.176873682,-17.37687669,19,29.3,-13.8,1.5,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
-9.191986833,-17.36636871,19,29.3,-13.8,1.4,-13.5,1.6,-15,0.7,-14.2,1.2,1
-9.193661245,-17.43486395,19.1,29.6,-13.8,1.4,-13.5,1.6,-15,0.7,-14.2,1.2,1
-9.178511333,-17.42373211,19,29.6,-13.8,1.4,-13.5,1.6,-15,0.7,-14.2,1.2,1
-9.178124908,-17.36289045,19,30.2,-13.8,1.5,-13.5,1.6,-15,0.7,-14.2,1.2,1
-9.182349789,-17.41272282,19.1,29.1,-13.8,1.5,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
-9.173340392,-17.38394386,19,28.3,-13.8,1.5,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
-9.162369591,-17.35597001,19,29.4,-13.8,1.5,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
-9.175917689,-17.40545006,19,29.5,-13.8,1.5,-13.5,1.6,-15,0.7,-14.2,1.2,1
-9.171996967,-17.36636871,18.9,29.7,-13.8,1.5,-13.5,1.6,-15,0.7,-14.2,1.2,1
-9.169667829,-17.38749626,19,29.3,-13.8,1.5,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
-9.165978092,-17.41272282,19,29.4,-13.8,1.4,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
-9.164540388,-17.43113955,19,30.1,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-9.407785719,-17.36985912,19,28.7,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.87099284,-17.35597001,32.5,29.9,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-17.12869706,-17.41637913,33.8,30.3,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.87524816,-17.36636871,34,30.2,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.87738263,-17.39822982,33.8,29.4,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.88812388,-17.38394386,35,29.4,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.87738263,-17.31542391,32,30.6,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.87311824,-17.32540736,33,29.3,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.89245289,-17.36289045,32.8,29.1,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.89898175,-17.28605802,34.1,30,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.82737221,-17.32875744,32.8,28.8,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.8562402,-17.30226583,34.3,30.1,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.84790682,-17.31211812,34.2,29.6,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.83758681,-17.29575115,33.5,29,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.83964231,-17.28284774,34,28.9,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.84170204,-17.23895355,33.5,29.5,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.819275,-17.30226583,34,30.8,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.8294068,-17.24202575,32.4,31.2,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.86675554,-17.19396845,32.1,30,-13.8,1.4,-13.5,1.7,-15,0.7,-14.2,1.2,1
-10.04060938,-17.27964774,34.3,29.5,-13.8,1.5,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
-9.166385689,-17.17941215,19.2,28.8,-13.8,1.5,-13.5,1.6,-15,0.7,-14.2,1.2,1
-9.17403448,-17.19690531,19.1,29,-13.8,1.5,-13.5,1.6,-15,0.7,-14.2,1.2,1
-9.173086014,-17.26065983,18.9,29.4,-13.8,1.4,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
-9.1650984,-17.18520927,18.9,30,-13.8,1.5,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
-9.182054224,-17.18520927,19.1,29.3,-13.8,1.4,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
-9.179951817,-17.26065983,19.1,29.6,-13.8,1.5,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
-9.167950647,-17.19104019,18.9,29.6,-13.8,1.5,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
-9.166544564,-17.18520927,19.1,29.1,-13.8,1.5,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
-9.17902583,-17.22979318,19,29,-13.8,1.5,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
-9.182533589,-17.24819861,19.1,29.4,-13.8,1.5,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
-9.17584523,-17.24819861,19.1,29.4,-13.8,1.5,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
-9.181993955,-17.28927863,19.2,29,-13.8,1.5,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
-9.186034175,-17.24510741,18.9,30.2,-13.8,1.4,-13.5,1.7,-15,0.7,-14.2,1.2,1
-9.174195538,-17.31874067,19,29.8,-13.8,1.5,-13.5,1.7,-15.1,0.7,-14.2,1.2,1
-9.17208551,-17.25440981,19.1,29.3,-13.8,1.5,-13.5,1.6,-15,0.7,-14.2,1.2,1
-9.186814293,-17.19690531,19.1,29.3,-13.8,1.4,-13.5,1.6,-15,0.7,-14.3,1.2,1
-9.192558412,-17.28605802,19.1,31,-13.8,1.5,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
-9.181337064,-17.25440981,19.2,29.7,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-10.29458537,-17.29575115,34.8,29.9,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.86464361,-17.27964774,34.4,29.4,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.84376602,-17.23589076,34,28.9,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.85206483,-17.28605802,32.8,29,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.88812388,-17.30226583,34.3,29.7,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.85415033,-17.22675828,33.3,30.2,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.86253613,-17.24510741,34.7,29.8,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.89245289,-17.30226583,34.5,29.3,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.86675554,-17.23895355,32,28.7,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.84790682,-17.25440981,34.1,29.3,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.86887194,-17.30553915,34.3,29.1,-11.3,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.86675554,-17.22675828,34.2,29.9,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.86464361,-17.26694916,32.3,30.2,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.87311824,-17.25752993,31.8,29.5,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.9551132,-17.27327829,32.1,31.2,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.93002637,-17.31874067,33.9,28.8,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.86887194,-17.32206846,33.9,30.7,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.88596638,-17.32875744,33.9,29.7,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
-16.90775373,-17.36289045,34.6,30.2,-13.8,1.5,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
-9.169571819,-17.27010872,20.6,29.4,-13.8,1.5,-13.5,1.6,-15,0.7,-14.2,1.2,1
-9.181764577,-17.29900318,18.9,29.6,-13.8,1.5,-13.5,1.7,-15,0.7,-14.2,1.2,1
-9.170614979,-17.33549148,19,28.8,-13.8,1.5,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
-9.170464105,-17.28927863,19,29.4,-13.8,1.5,-13.5,1.7,-15,0.7,-14.3,1.2,1
-9.452392825,-17.27964774,19.1,29.1,-13.8,1.4,-13.5,1.7,-15,0.7,-14.2,1.2,1
-9.178177197,-17.34567832,19,29.4,-13.8,1.4,-13.5,1.7,-15,0.7,-14.2,1.2,1
-9.160682013,-17.29250965,19,31.4,-13.8,1.4,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
-9.157750768,-17.61420488,19.1,30.9,-13.8,1.5,-13.5,1.6,-15,0.7,-14.2,1.2,1
-9.172254918,-17.35252766,18.9,28.5,-13.8,1.5,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
-9.165376567,-17.33549148,19.1,29.6,-13.8,1.5,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
-9.15992201,-17.34567832,19,30.5,-13.8,1.5,-13.5,1.6,-15,0.7,-14.2,1.2,1
-9.173789566,-17.36289045,19.1,29.6,-13.8,1.4,-13.5,1.7,-15,0.7,-14.2,1.2,1
-9.168713901,-17.32875744,18.9,29.8,-13.8,1.5,-13.5,1.6,-15.1,0.7,-14.2,1.2,1
-9.150982434,-17.31211812,19,29.4,-13.8,1.4,-13.5,1.6,-15,0.7,-14.2,1.2,1
-9.160310976,-17.31542391,18.9,29.4,-13.8,1.5,-13.5,1.6,-15,0.7,-14.2,1.2,1
-9.172488865,-17.27327829,18.9,29.6,-13.8,1.4,-13.5,1.7,-15.1,0.7,-14.2,1.2,1
-9.173203559,-17.32875744,18.8,29.4,-13.8,1.4,-13.5,1.6,-15,0.7,-14.2,1.2,1
-9.162193272,-17.31542391,18.9,29.6,-11.2,3.9,-11.1,4,-12.7,2.6,-12.3,3,0
